street_name,defect_type,severity,latitude,longitude
Port Said St,pothole,3,30.073838,31.253971
Tahrir Square Rd,pothole,2,30.045861,31.227784
Heliopolis Ave,subsidence,4,30.085983,31.320636
Suez Desert Rd,crack,3,30.107909,31.394984
Port Said St,rutting,1,30.075577,31.258472
October Bridge,crack,4,30.05215,31.229692
Salah Salem,pothole,1,30.065267,31.278317
Ring Road,pothole,3,30.014724,31.193953
Dokki St,crack,4,30.035188,31.203661
Corniche El Nil,subsidence,4,30.053623,31.233141
Nasr Rd,rutting,3,30.058105,31.334424
Ramsis St,crack,2,30.065511,31.245451
Pyramids Rd,marking,4,29.973903,31.124193
Ring Road,crack,3,30.026418,31.203357
Ramsis St,crack,4,30.060751,31.246396
Autostrad Rd,pothole,3,30.075524,31.352748
Shubra St,edge_break,4,30.110856,31.264721
Autostrad Rd,pothole,2,30.080834,31.344395
Airport Rd,pothole,4,30.123758,31.395282
Airport Rd,crack,3,30.123706,31.401061
Shubra St,marking,5,30.105169,31.263816
Ring Road,edge_break,4,30.020685,31.198133
Abbas El Akkad,rutting,2,30.061786,31.323886
Maadi Corniche,rutting,4,29.977246,31.242068
Salah Salem,crack,4,30.066107,31.275662
Airport Rd,crack,4,30.126731,31.405246
Mohamed Farid St,marking,3,30.050005,31.25687
Ain Shams St,rutting,4,30.104546,31.314026
Mohamed Farid St,pothole,2,30.06369,31.24397
Dokki St,crack,3,30.037924,31.204272
Pyramids Rd,marking,3,29.976347,31.134745
Salah Salem,crack,5,30.063868,31.285967
Shubra St,rutting,4,30.103013,31.266177
Pyramids Rd,rutting,4,29.962363,31.126164
Abbas El Akkad,pothole,5,30.072149,31.323724
Airport Rd,rutting,4,30.113418,31.404452
Mohamed Farid St,rutting,3,30.061573,31.24521
Pyramids Rd,marking,3,29.968841,31.130748
Shubra St,pothole,3,30.102004,31.270603
Nasr Rd,marking,3,30.06265,31.336276
Airport Rd,marking,5,30.117662,31.392612
Maadi Corniche,pothole,2,29.973152,31.253648
Airport Rd,rutting,4,30.122594,31.40233
Autostrad Rd,crack,2,30.073392,31.34892
Ring Road,rutting,4,30.013989,31.20233
Port Said St,pothole,2,30.070741,31.266258
Corniche El Nil,crack,2,30.058974,31.239407
Ring Road,marking,1,30.016997,31.193898
Salah Salem,rutting,1,30.062678,31.281499
Nasr Rd,rutting,5,30.06775,31.324745
Ring Road,subsidence,3,30.017644,31.202507
Tahrir Square Rd,marking,3,30.036713,31.240164
Nasr Rd,crack,5,30.067261,31.32486
Autostrad Rd,rutting,3,30.075285,31.349987
Ramsis St,marking,2,30.064777,31.250282
Port Said St,pothole,2,30.072428,31.25948
Tahrir Square Rd,edge_break,2,30.037619,31.24165
Tahrir Square Rd,pothole,2,30.039576,31.234725
Dokki St,rutting,1,30.035516,31.210073
Ramsis St,pothole,2,30.068144,31.257551
Salah Salem,pothole,5,30.062105,31.272647
